GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone
542040284,20160519,SINGAPORE,SCIENTIST,4,5,1,-6.52818991097923
542699317,20160522,SINGAPORE,WORKER,4,4,1,-12.1951219512195
570504382,20160818,POLICE,SCHOOL,4,2,1,-5.98052851182197
570505873,20160818,SINGAPORE,SCHOOL,4,8,1,-5.98052851182197
570705549,20160819,POLICE,SCHOOL,4,2,1,-8.02568218298555
570706325,20160819,SINGAPORE,SCHOOL,4,8,1,-8.02568218298555
547455919,20160605,SINGAPORE,CARDIFF,4,3,1,-8.30188679245284
558631210,20160711,SINGAPORE,POLICE,4,2,1,-6.78466076696165
560921872,20160718,JAFFNA,STUDENT,4,8,1,-5.00782472613459
561205837,20160719,SELANGOR,SINGAPORE,4,2,1,-4.54545454545455
557115616,20160706,EMPLOYEE,INVESTOR,4,5,1,0.0
547653673,20160606,SINGAPORE,INDONESIAN,4,2,1,1.90718372536554
555331600,20160630,POLICE,ASSAILANT,4,10,1,-11.5473441108545
567326738,20150809,SOUTHEAST ASIA,BANK,4,10,1,1.9704433497537
565954087,20160803,SINGAPORE,MALAYSIAN,4,6,1,-3.72881355932204
565640943,20160802,SINGAPORE,HOSPITAL,4,10,1,-7.56756756756757
557974877,20160708,EMPLOYEE,INVESTOR,4,5,1,-0.11799410029499
556695192,20160705,MEDINA,SUICIDE BOMBER,4,10,1,-8.64197530864198
545953336,20160601,HOSPITAL,SINGAPORE,4,2,1,-4.07725321888412
548140942,20160607,ALASKA,FOREIGN NATIONAL,4,14,2,-3.13681747694317
550786766,20160616,ORLANDO,SINGAPORE,4,10,1,-2.51046025104602
550433197,20160615,ORLANDO,SINGAPORE,4,20,1,-2.42493600361391
550553313,20160615,ORLANDO,SINGAPORE,4,5,1,-4.89130434782609
561401764,20160719,MINIST OF FOREIGN AFFAIRS,SINGAPOREAN,4,5,1,-3.98860398860399
548406653,20160608,STUDENT,ISTANBUL,4,2,1,-15.5172413793103
568833198,20160812,SINGAPORE,MYANMAR,4,5,1,-1.06100795755968
561638432,20160720,MINIST OF FOREIGN AFFAIRS,SINGAPOREAN,4,5,1,-5.58659217877095
568832677,20160812,EMPLOYEE,MYANMAR,4,5,1,-1.06100795755968
550143460,20160614,AFGHAN,CIVILIAN,4,15,1,0.446827294779154
568155721,20160810,BUSINESS,SINGAPORE,4,10,1,-3.15789473684211
566172123,20160803,SINGAPORE,HOSPITAL,4,10,1,-7.41935483870968
548182068,20160608,ALASKA,FOREIGN NATIONAL,4,15,1,-1.36906833739413
558225011,20160709,POLICE,SINGAPORE,4,8,1,-8.69565217391305
556669593,20160703,MALAYSIA,MALAYSIA,4,4,1,-2.01342281879195
557002424,20160705,EMPLOYEE,INVESTOR,4,5,1,0.17371163867979
546394441,20160602,SINGAPORE,ROBBER,4,4,1,-7.36196319018405
561164380,20160718,SELANGOR,SINGAPORE,4,2,1,-3.59435173299101
549523153,20160612,WORKER,SINGAPORE,4,10,1,-2.75590551181103
550685046,20160615,ORLANDO,SINGAPORE,4,10,1,-2.63157894736842
529894591,20160412,THIRUVANANTHAPURAM,COLLEGE,4,10,1,-7.86324786324786
473376736,20151006,POLICE,SINGAPORE,4,20,1,-6.31578947368421
505430043,20160125,POLICE POST,STARBUCKS,4,2,1,-2.8328611898017
458811885,20150818,THAILAND,SINGAPORE,4,6,1,-5.71428571428572
516817390,20160301,SINGAPORE,SINGAPORE,4,2,1,-2.0527858734130859
438894821,20150606,SABAH,PUPIL,4,10,1,-1.63487738419619
487226866,20151122,SINGAPORE,SERVICEMAN,4,9,1,-3.97350993377483
453379206,20150729,MALAYSIA,POLICE,4,10,1,1.95652173913044
435215814,20150522,THE US,WORKER,4,10,1,-2.45762711864407
515390089,20160225,WORKER,SINGAPORE,4,3,1,-11.731843948364258
478555880,20151024,SECURITY OFFICIAL,PRESIDENT,4,10,1,-6.27450980392157
541142375,20160517,LAHORE,PAKISTAN,4,10,1,-11.6424116424116
507903613,20160202,POLICE,MEDIA,4,2,1,-0.6578947368421
477284576,20151019,POLICE,SINGAPORE,4,10,1,-5.86319218241043
599643283,20161116,BUGIS,SINGAPORE,4,10,1,-1.86915887850467
625059647,20170207,POLICE,SINGAPORE,4,2,1,-2.23642172523962
448022129,20150710,NARAYANGANJ,HINDU PILGRIM,4,6,1,-5.57729941291585
534133306,20160424,INDONESIAN,SINGAPOREAN,4,10,1,-0.42194092827004
495564610,20151219,VIJAYAWADA,WORKER,4,5,1,-5.79268292682926
458569780,20150817,SINGAPORE,SINGAPOREAN,4,3,1,-7.19424460431653
536550221,20160503,CARDIFF,SINGAPORE,4,1,1,-5.0632911392405
504579457,20160122,BANGLADESH,ISLAMIC,4,2,1,-6.82730923694779
439220853,20150608,SINGAPORE,SINGAPORE,4,1,1,2.27272727272727
577041539,20160908,SINGAPORE,SINGAPORE,4,10,1,-9.58083832335326
437588213,20150601,QUEZON,A US,4,1,1,-5.16129032258065
451273122,20150722,SINGAPORE,SINGAPORE,4,5,1,-1.49476831091181
498626720,20160101,SINGAPORE,DOCTOR,4,10,1,-5.13761467889908
516959218,20160301,BRAZIL,UNIVERSITY,4,10,1,-5.50918196994991
440118827,20150611,FIREFIGHTER,SINGAPORE,4,6,1,-3.2520325203252
487146884,20151121,SINGAPORE,SERVICEMAN,4,9,1,-4.31034482758621
497791290,20151228,FRENCH,NEPTUNE ORIENT LINES,4,6,1,0.28985507246376
438887590,20150606,SABAH,SINGAPOREAN,4,8,1,-0.95846645367412
440116597,20150611,FIREFIGHTER,SINGAPORE,4,8,1,-3.26530612244898
481927909,20151104,SINGAPORE,WORKER,4,8,1,-6.03907637655417
534171198,20160425,INDONESIAN,SINGAPOREAN,4,10,1,-0.42194092827004
446729951,20150707,THIEVES,SINGAPOREAN,4,5,1,-4.55764075067024
473683238,20151007,NEIGHBOURHOOD,POLICE,4,2,1,-9.6551724137931
433888798,20150517,TERENGGANU,SINGAPORE,4,2,1,-1.47058823529412
510877754,20160211,SINGAPORE,PHILIPPINE,4,4,1,-1.90839694656488
473373675,20151006,NEIGHBOURHOOD,SINGAPORE,4,10,1,-4.57516339869281
451272410,20150722,YOGA,SINGAPORE,4,5,1,-1.49476831091181
507460494,20160201,EXPORTER,SINGAPORE,4,8,1,-2.42909360107342
497090599,20151225,SINGAPORE,JOHOR,4,2,1,-5.22388059701492
643592119,20160405,POLICE,AHMAD ZAHID HAMIDI,4,10,1,-5.2930056710775
459967781,20150822,WORKER,SINGAPORE,4,2,1,-4.2620363062352
573524012,20160828,SINGAPORE,ADMINISTRATION,4,10,1,-4.06504065040651
573657163,20160829,CHINA,AUTHORITIES,4,2,1,-4.53283996299722
574363665,20160831,EMBASSY,WORKER,4,8,1,-8.0
506112798,20160127,BALI,SINGAPORE,4,16,1,-2.85714285714286
473684458,20151007,SINGAPORE,POLICE,4,4,1,-9.6551724137931
455865663,20150807,ITALY,CONSERVATORY,4,3,1,-0.91954022988505
507904913,20160202,SINGAPORE,MEDIA,4,8,1,-0.6578947368421
540276830,20160514,POLICE,MONK,4,10,1,-9.50413223140496
482132857,20151105,WORKER,PROFESSOR,4,10,1,-5.90614886731391
529700510,20160412,BUGIS,WORKER,4,10,1,-3.84615384615385
540399275,20160515,POLICE,MONK,4,10,1,-9.09090909090909
537767933,20160506,HO CHI MINH CITY,MALAYSIAN,4,10,1,-3.28358208955224
578687559,20160913,TAIWAN,SINGAPORE,4,2,1,-1.40845070422535
436486213,20150527,SINGAPORE,SERVICEMAN,4,8,1,-8.10810810810811
604003266,20161130,MEDIA,SERVICEMAN,4,7,1,-3.35570469798657
