GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
570504382,20160818,POLICE,SCHOOL,4,2,1,-5.98052851182197,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://www.straitstimes.com/singapore/courts-crime/benjamin-lim-case-coroner-suggests-school-counsellor-could-accompany-minor-to
570505873,20160818,SINGAPORE,SCHOOL,4,8,1,-5.98052851182197,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://www.straitstimes.com/singapore/courts-crime/benjamin-lim-case-coroner-suggests-school-counsellor-could-accompany-minor-to
571093541,20160820,MEMBER OF PARLIAMENT,CRIMINAL,4,4,1,-2.77843183423593,1.3667,103.8,Singapore,http://www.channelnewsasia.com/news/singapore/behind-closed-doors-rape/2958110.html
571093821,20160820,SINGAPORE,PERPETRATOR,4,10,1,-2.77843183423593,1.3667,103.8,Singapore,http://www.channelnewsasia.com/news/singapore/behind-closed-doors-rape/2958110.html
571093823,20160820,SINGAPORE,CHIEF JUSTICE,4,3,1,-2.77843183423593,1.3667,103.8,Singapore,http://www.channelnewsasia.com/news/singapore/behind-closed-doors-rape/2958110.html
571408738,20160822,STUDENT,SINGAPORE,4,10,1,-0.80160320641283,1.3667,103.8,Singapore,http://www.singaporestar.com/index.php/sid/246938669
570705549,20160819,POLICE,SCHOOL,4,2,1,-8.02568218298555,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/benjamin-lims-death-suicide-coroner
570706325,20160819,SINGAPORE,SCHOOL,4,8,1,-8.02568218298555,1.36917,103.85,"Ang Mo Kio, Singapore (general), Singapore",http://news.asiaone.com/news/singapore/benjamin-lims-death-suicide-coroner
570641566,20160719,SINGAPORE,SINGAPORE,4,5,1,-4.35146443514645,1.29611,103.78,"National University Of Singapore, Singapore (general), Singapore",http://www.straitstimes.com/opinion/lessons-in-consent-and-sexual-respect
542749751,20160522,BHUTAN,GANG,4,10,1,-10.0,1.3667,103.8,Singapore,http://malayalam.oneindia.com/peep/50-year-old-domestic-help-molest-two-drunk-men-bengaluru-150298.html
565072847,20160731,STUDENT,SINGAPORE,4,5,1,-4.49438202247191,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=31a3bcecfedaf6daba1c86e8a8e95652&t=87023&page=3
565069646,20160731,SINGAPORE,STUDENT,4,5,1,-4.51977401129944,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=8ff7800d4f82f0b7f562791f96585d88&t=87023&page=3
564653772,20160729,SINGAPORE,UNIVERSITY,4,5,1,-8.70712401055409,1.3667,103.8,Singapore,http://www.qatar-tribune.com/news-details/id/16060
564837991,20160730,GANG,SINGAPORE,4,5,1,-6.6427289048474,1.3667,103.8,Singapore,http://www.straitstimes.com/singapore/two-youths-get-jail-caning-for-gang-rape
545128348,20160529,INTERIM PRESIDENT,GANG,4,5,1,-4.67289719626169,1.29611,103.78,"National University Of Singapore, Singapore (general), Singapore",http://www.singaporestar.com/index.php/sid/244478357
563785864,20160727,STUDENT,SINGAPORE,4,10,1,-4.13793103448276,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=d93ac50662c9a8a4fbdffb26a2b64c11&t=87023&page=2
546944199,20160603,SINGAPORE,GANG,4,4,1,-4.56349206349206,1.3667,103.8,Singapore,http://www.miragenews.com/india-orders-panic-buttons-for-women-installed-on-buses/
542699317,20160522,SINGAPORE,WORKER,4,4,1,-12.1951219512195,1.3667,103.8,Singapore,http://forums.asiaone.com/showthread.php?s=1a69022770ef41e497ac03e95b2bf94e&t=85895
561638432,20160720,MINIST OF FOREIGN AFFAIRS,SINGAPOREAN,4,5,1,-5.58659217877095,1.3667,103.8,Singapore,http://news.asiaone.com/news/singapore/sutd-student-injured-nice-terror-attack-has-passed-critical-period
