GLOBALEVENTID,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
457006649,20150812000000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,14,3335,-1,3430,0,40,4485,7.17185385656292,,
457006649,20150812000000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,14,3435,-1,3534,0,40,4484,7.14285714285715,,
457158831,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,1,11,82,72,0,20,4485,7.17185385656292,,
457160310,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,16,4428,4405,4395,0,20,4485,7.17185385656292,,
457159089,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,14,3359,-1,3427,1,40,4485,7.17185385656292,,
457158746,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,16,-1,4527,4517,1,60,4484,7.14285714285715,,
457159089,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,14,3461,-1,3531,1,30,4484,7.14285714285715,,
457160173,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,12,2710,-1,2670,1,100,4484,7.14285714285715,,
457159096,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,14,3461,-1,3636,1,30,4484,7.14285714285715,,
457158832,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,2,190,317,307,1,100,4485,7.17185385656292,,
457160311,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,16,4428,4405,4395,0,20,4485,7.17185385656292,,
457159096,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,14,3359,-1,3528,1,60,4485,7.17185385656292,,
457160311,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,16,4550,4527,4517,0,20,4484,7.14285714285715,,
457160173,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,12,2609,-1,2572,1,100,4485,7.17185385656292,,
457158746,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,16,-1,4405,4395,1,60,4485,7.17185385656292,,
457158832,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,2,198,325,315,1,100,4484,7.14285714285715,,
457160174,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,12,2710,-1,2767,1,100,4484,7.14285714285715,,
457158829,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,14,3331,-1,-1,0,40,4485,7.17185385656292,,
457158831,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,1,11,82,72,0,20,4484,7.14285714285715,,
457158829,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,14,3435,-1,3639,0,40,4484,7.14285714285715,,
457160174,20150812120000,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,12,2609,-1,2667,1,100,4485,7.17185385656292,,
457160310,20150812120000,20150812120000,1,zawya.com,http://www.zawya.com/story/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans-WAM20150812104036597/,16,4550,4527,4517,0,20,4484,7.14285714285715,,
457198685,20150812144500,20150812144500,1,menafn.com,http://www.menafn.com/1094308280/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans,14,3359,-1,3427,0,20,4485,7.17185385656292,,
457320310,20150813000000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,14,3428,-1,3527,0,40,4553,7.27762803234502,,
457320310,20150813000000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,14,3428,-1,3527,0,40,4553,7.27762803234502,,
457383492,20150813050000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,16,4541,4518,4508,0,20,4553,7.27762803234502,,
457383417,20150813050000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,12,2692,-1,2655,1,100,4553,7.27762803234502,,
457382230,20150813050000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,16,-1,4518,4508,1,60,4553,7.27762803234502,,
457383418,20150813050000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,12,2692,-1,2750,1,100,4553,7.27762803234502,,
457382230,20150813050000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,16,-1,4518,4508,1,60,4553,7.27762803234502,,
457383418,20150813050000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,12,2692,-1,2750,1,100,4553,7.27762803234502,,
457383417,20150813050000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,12,2692,-1,2655,1,100,4553,7.27762803234502,,
457382314,20150813050000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,14,3428,-1,3630,0,40,4553,7.27762803234502,,
457382314,20150813050000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,14,3428,-1,3630,0,40,4553,7.27762803234502,,
457383492,20150813050000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,16,4541,4518,4508,0,20,4553,7.27762803234502,,
457415921,20150813080000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,2,199,326,316,1,100,4553,7.27762803234502,,
457415921,20150813080000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,2,199,326,316,1,100,4553,7.27762803234502,,
457415919,20150813080000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,1,11,82,72,0,20,4553,7.27762803234502,,
457415919,20150813080000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,1,11,82,72,0,20,4553,7.27762803234502,,
457435309,20150813093000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,14,3454,-1,3524,1,30,4553,7.27762803234502,,
457435067,20150813093000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,2,136,359,348,0,20,4553,7.27762803234502,,
457435067,20150813093000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,2,136,359,348,0,20,4553,7.27762803234502,,
457436755,20150813093000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,16,4541,4518,4508,0,20,4553,7.27762803234502,,
457435316,20150813093000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,14,3454,-1,3627,1,30,4553,7.27762803234502,,
457435316,20150813093000,20150813113000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA_sends_20_Emirati_students_to_Singapore_as_part_of_Ruwad_initiative_to_encourage_creativity_in_orphans/70339.htm,14,3454,-1,3627,1,30,4553,7.27762803234502,,
457436755,20150813093000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,16,4541,4518,4508,0,20,4553,7.27762803234502,,
457435309,20150813093000,20150813093000,1,uaeinteract.com,http://www.uaeinteract.com/docs/DEWA-sends-20-Emirati-students-to-Singapore-as-part-of-Ruwad-initiative-to-encourage-creativity-in-orphans/70339.htm,14,3454,-1,3524,1,30,4553,7.27762803234502,,
