GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
703111956,20171102,SADHU,BUSINESS,4,4,1,-6.89655172413793,22.3,70.7833,"Rajkot, Gujarat, India",https://timesofindia.indiatimes.com/city/rajkot/six-persons-murder-fruit-vendor-son-on-busy-road/articleshow/61426068.cms
703111955,20171102,SADHU,BUSINESS,4,6,1,-6.89655172413793,30.9833,78.9333,"Gangotri, Uttaranchal, India",https://timesofindia.indiatimes.com/city/rajkot/six-persons-murder-fruit-vendor-son-on-busy-road/articleshow/61426068.cms
691890309,20170922,HINDU,MUSLIM,4,10,1,-1.9652305366591,19.2833,77.2667,"Malegaon, Maharashtra, India",http://www.thecitizen.in/index.php/NewsDetail/index/1/11800/Is-the-Resistance-Sufficient-to-Check-BJPs-Forward-March
569739564,20160816,CHRISTIAN,HOSPITAL,4,2,1,-7.96019900497513,30.9,75.85,"Ludhiana, Punjab, India",http://www.hindustantimes.com/punjab/ludhiana-shopkeeper-records-statement-before-dying-says-woman-set-him-ablaze/story-ddt61C2ehkWn5yz0hHtwkJ.html
569739563,20160816,CHRISTIAN,COLLEGE,4,2,1,-7.96019900497513,30.2772,77.9903,"Subhash Nagar, Uttaranchal, India",http://www.hindustantimes.com/punjab/ludhiana-shopkeeper-records-statement-before-dying-says-woman-set-him-ablaze/story-ddt61C2ehkWn5yz0hHtwkJ.html
570284227,20160817,CHRISTIAN,HINDU,4,2,1,-3.59019264448337,19.9,84.1333,"Daringbadi, Orissa, India",http://www.firstpost.com/reports/8-years-after-swami-laxmanananda-saraswatis-killing-kandhamal-is-still-a-ticking-time-bomb.html
570284228,20160817,CHRISTIAN,HINDU,4,8,1,-3.59019264448337,19.7,84.0333,"Gadapur, Orissa, India",http://www.firstpost.com/reports/8-years-after-swami-laxmanananda-saraswatis-killing-kandhamal-is-still-a-ticking-time-bomb.html
569843584,20160816,HINDU,KOLKATA,4,1,1,-6.41025641025641,22.5697,88.3697,"Kolkata, West Bengal, India",http://indiablooms.com/ibns_new/news-details/N/23332/kolkata-window-grill-collapses-in-hindu-school-3-students-injured.html
570383766,20160818,HINDU,MUSLIM,4,10,1,1.14537444933921,20.0,77.0,India,http://jagbani.punjabkesari.in/special%20story/news/narendra-modi-582014
569789943,20160816,HINDU,CHRISTIAN,4,10,1,-3.98593200468934,21.5,81.75,"Chhattisgarh, Chhattisgarh, India","http://www.asianews.it/news-en/For-Catholic-educators,-dictator-Marcos-should-not-be-buried-with-the-country&rsquo"
570965830,20160819,AMIT,MINIST,4,1,1,-7.82241014799154,28.6667,77.4333,"Ghaziabad, Uttar Pradesh, India",http://indianexpress.com/article/india/india-news-india/culture-minister-mahesh-sharmas-security-staff-thrashes-society-guards-over-delay-in-opening-gate-2986333/
570999391,20160820,HINDU,GOVERNMENT,4,10,1,-4.08895265423242,33.9167,76.6667,"Kashmir, Jammu and Kashmir, India",http://dunya.com.pk/index.php/author/nazeer-naji/2016-08-20/16533/53318846
570996645,20150821,SPECIAL FORCES,MYANMAR,4,5,1,-8.62068965517241,20.0,77.0,India,http://timesofindia.indiatimes.com/india/Surgical-strike-inside-Myanmar-by-Army/articleshow/53778161.cms
570772317,20160819,HINDU,ACTIVIST,4,10,1,-3.94889663182347,17.3753,78.4744,"Hyderabad, Andhra Pradesh, India",http://www.newsnow.in/news/ben-hur-chariots-of-boredom-the-hindu
690540880,20170918,CATHOLIC BISHOP,ISLAMIC,4,4,1,0.400801603206414,10.0,76.5,"Kerala, Kerala, India",https://article.wn.com/view/2017/09/18/Sushma_Swaraj_arrives_in_New_York_for_UNGA_session_7/
542725624,20160522,HINDU,OPERATIVE,4,8,1,-3.38541666666666,28.6,77.2,"New Delhi, Delhi, India",http://www.bhaskar.com/news-ht/UT-DEL-HMU-NEW-nia-may-soon-nab-close-aides-of-dawood-zahid-miyan-5330231-PHO.html
542820872,20160522,HINDU,ACTIVIST,4,1,1,-6.7351598173516,13.35,74.75,"Udipi, Karnataka, India",http://twocircles.net/2009aug26/muslim_terrorists_manufactured_media.html
542820873,20160522,HINDU,SENA,4,1,1,-6.7351598173516,13.35,74.75,"Udipi, Karnataka, India",http://twocircles.net/2009aug26/muslim_terrorists_manufactured_media.html
568971838,20160812,BUDDHIST,SURAT,4,4,1,-9.35550935550936,20.9667,72.9,"Surat, Gujarat, India",http://news.asiaone.com/news/asia/thailand-blasts-common-pattern-seen-similar-devices-used
568971839,20160812,BUDDHIST,SURAT THANI,4,2,1,-9.35550935550936,20.9667,72.9,"Surat, Gujarat, India",http://news.asiaone.com/news/asia/thailand-blasts-common-pattern-seen-similar-devices-used
568972149,20160813,BUDDHIST,SURAT,4,4,1,-9.10931174089065,20.9667,72.9,"Surat, Gujarat, India",http://www.thejakartapost.com/seasia/2016/08/13/common-pattern-seen-in-blasts-with-similar-devices-used-thai-authorities.html
568972150,20160813,BUDDHIST,SURAT THANI,4,2,1,-9.10931174089065,20.9667,72.9,"Surat, Gujarat, India",http://www.thejakartapost.com/seasia/2016/08/13/common-pattern-seen-in-blasts-with-similar-devices-used-thai-authorities.html
569018546,20160813,BUDDHIST MONK,MISCREANT,4,2,1,-9.32642487046632,22.8,86.1833,"Jamshedpur, Jharkhand, India",http://www.newsnow.in/news/kerala-20-year-old-iuml-worker-hacked-to-death-in-kozhikode-no-suspects
711713245,20171202,HINDU,KING,4,4,1,-4.31880643894778,28.6,77.2,"New Delhi, Delhi, India",http://www.lankaweb.com/news/items/2017/12/01/hindu-violence-against-buddhists-and-wanton-destruction-of-buddhist-sites-in-india/
711746206,20171202,SADHU,BUSINESS,4,4,1,-9.11854103343465,22.3,70.7833,"Rajkot, Gujarat, India",https://timesofindia.indiatimes.com/city/rajkot/fruit-vendors-murder-man-three-three-sons-held-month-ago/articleshow/61884201.cms
711713243,20171202,HINDU,KING,4,4,1,-4.31880643894778,10.0,76.5,"Kerala, Kerala, India",http://www.lankaweb.com/news/items/2017/12/01/hindu-violence-against-buddhists-and-wanton-destruction-of-buddhist-sites-in-india/
711713244,20171202,HINDU,KING,4,2,1,-4.31880643894778,16.5833,80.35,"Nagarjunakonda, Andhra Pradesh, India",http://www.lankaweb.com/news/items/2017/12/01/hindu-violence-against-buddhists-and-wanton-destruction-of-buddhist-sites-in-india/
711738400,20171202,HINDU,KING,4,1,1,-4.40545808966861,28.6,77.2,"New Delhi, Delhi, India",http://www.lankaweb.com/news/items/2017/12/01/hindu-violence-against-buddhists-and-wanton-destruction-of-buddhist-sites-in-india/comment-page-1/
711746205,20171202,SADHU,BUSINESS,4,4,1,-9.11854103343465,30.9833,78.9333,"Gangotri, Uttaranchal, India",https://timesofindia.indiatimes.com/city/rajkot/fruit-vendors-murder-man-three-three-sons-held-month-ago/articleshow/61884201.cms
545158824,20160529,HINDU,AFRICANS,4,8,1,-9.05077262693157,28.6667,77.2167,"Delhi, Delhi, India",http://www.newsnow.in/news/five-arrested-for-assault-on-africans-in-delhi-the-hindu
545231582,20160529,HINDU,AFRICANS,4,8,1,-5.05747126436781,28.5167,77.1833,"Mehrauli, Delhi, India",http://www.newsnow.in/news/africans-reject-mea-response-plan-protest-the-hindu
563538304,20160726,HINDU,MADHYA PRADESH,4,3,1,-8.17307692307693,23.5,78.5,"Madhya Pradesh, Madhya Pradesh, India",http://www.ucanews.com/news/attacked-christians-jailed-in-central-india/76669
564963229,20160730,HINDU,PARLIAMENT,4,5,1,0.59701492537313,31.9167,77.25,"Himachal Pradesh, Himachal Pradesh, India",http://www.hindustantimes.com/columns/rss-india-model-comes-to-gujarat/story-0ePXSzxH5Y10VBDJIoe7jJ.html
564963230,20160730,HINDU,PARLIAMENT,4,5,1,0.59701492537313,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://www.hindustantimes.com/columns/rss-india-model-comes-to-gujarat/story-0ePXSzxH5Y10VBDJIoe7jJ.html
545032226,20160527,HINDU,DALIT,4,2,1,6.67634252539913,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.newsnow.in/news/top-stars-fell-in-love-with-them-
556267146,20160703,JAIN,ISLAMIC MILITANT,4,1,1,-5.18518518518518,28.6667,77.2167,"Delhi, Delhi, India",http://www.newsnow.in/news/tarishi-jain-she-was-beautiful-kind-sweet-dedicated-
557445726,20160707,HINDU,SIKH,4,8,1,-5.58739255014327,20.0,77.0,India,http://www.jamaicaobserver.com/news/This-Day-in-History---July-7_66142
557356717,20160707,HINDU,MILITARY,4,10,1,0.74074074074074,31.6331,74.8656,"Amritsar, Punjab, India",http://www.quamiekta.com/2016/07/06/33041/
549581057,20160612,HINDU PRIEST,ISLAMIC,4,6,1,-12.3287671232877,20.0,77.0,India,http://in.reuters.com/article/bangladesh-violence-minorities-idINKCN0YY0GO
549449450,20160611,HINDU,BANGLADESH,4,10,1,-10.4615384615385,20.0,77.0,India,http://thedailycroton.com/2016/06/11/hindu-monastery-worker-hacked-to-death-in-bangladesh/
549475061,20160612,HINDU,PABNA,4,6,1,-3.8878842676311,28.6,77.2,"New Delhi, Delhi, India",http://www.southeastasiapost.com/index.php/sid/244878439
549537229,20160612,HINDU,COMMUNITY,4,6,1,-2.61437908496732,12.9833,77.5833,"Bengaluru, Karnataka, India",http://daijiworld.com/news/news_disp.asp?n_id=399020
