GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
424274082,20140410,MUSLIM,PAKISTAN,MOS,,1,1,17.3753,78.4744,"Hyderabad, Andhra Pradesh, India",http://www.thefridaytimes.com/tft/a-solemn-easter/
424985251,20140413,MUSLIM,PAKISTAN,MOS,,1,1,17.3753,78.4744,"Hyderabad, Andhra Pradesh, India",http://www.newageislam.com/interfaith-dialogue/naimat-khan/a-solemn-easter/d/102421
451538870,20140723,ISLAMIC,NATIONALS,MOS,,10,1,20.0,77.0,India,http://news.xinhuanet.com/english/2015-07/23/c_134440258.htm
410582338,20150219,MUSLIM,POLICE,MOS,,2,1,22.8,86.1833,"Jamshedpur, Jharkhand, India",http://www.jagran.com/jharkhand/jamshedpur-12093270.html
410582339,20150219,MUSLIM,POLICE,MOS,,8,1,22.8,86.1833,"Jamshedpur, Jharkhand, India",http://www.jagran.com/jharkhand/jamshedpur-12093270.html
410793835,20150220,SHIITE,PRESIDENT,MOS,,10,1,20.0,77.0,India,http://www.middleeaststar.com/index.php/sid/230412085
411568695,20150223,MUSLIM,PRISON,MOS,,3,1,18.5333,73.8667,"Pune, Maharashtra, India",http://www.thehindu.com/news/national/other-states/german-bakery-blast-convict-claims-he-was-brutally-assaulted-in-yerwada-prison/article6925497.ece
411819249,20150224,MUSLIM,NEW DELHI,MOS,,2,1,28.6,77.2,"New Delhi, Delhi, India",http://www.indiatvnews.com/news/india/reward-of-rs-100786-for-beheading-mufti-iliyas--47930.html
411819248,20150224,MUSLIM,NEW DELHI,MOS,,2,1,28.6,77.2,"New Delhi, Delhi, India",http://www.indiatvnews.com/news/india/reward-of-rs-100786-for-beheading-mufti-iliyas--47930.html
414297216,20150225,ISLAMIC MILITANT,DHAKA,MOS,,4,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.bloomberg.com/news/articles/2015-03-04/bangladesh-standoff-risks-emboldening-islamic-extremist-groups
414297215,20150225,ISLAMIC MILITANT,DHAKA,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.bloomberg.com/news/articles/2015-03-04/bangladesh-standoff-risks-emboldening-islamic-extremist-groups
414427404,20150226,ISLAMIC MILITANT,DHAKA,MOS,,10,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://finance.yahoo.com/news/islamic-militancy-rises-blood-stained-031235297.html
412564947,20150226,MUSLIM,,MOS,,10,1,12.8639,74.8353,"Mangalore, Karnataka, India",http://www.europapress.es/internacional/noticia-joven-musulman-secuestrado-agredido-posar-varias-companeras-hindues-foto-viral-20150226141712.html
413660208,20150302,AL QAEDA,MUMBAI,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.livehindustan.com/news/videsh/international/article1-Al-Qaeda-Osama-bin-Laden-Europe-Mumbai-assault-2-2-472758.html
413660207,20150302,AL QAEDA,EUROPE,MOS,,4,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.livehindustan.com/news/videsh/international/article1-Al-Qaeda-Osama-bin-Laden-Europe-Mumbai-assault-2-2-472758.html
413532901,20150302,LASHKAR E TAIBA,PARLIAMENT,MOS,,2,1,26.1967,78.1514,"Lashkar, Madhya Pradesh, India",http://khabar.ibnlive.in.com/news/137269/12/4
413529642,20150302,ISLAM,MAGISTRATE,MOS,,10,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://beta.jang.com.pk/JangDetail.aspx?ID=176851
413529641,20150302,ISLAM,MUMBAI,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://beta.jang.com.pk/JangDetail.aspx?ID=176851
413757542,20150303,ISLAM,,MOS,,10,1,33.9167,76.6667,,http://khabarsouthasia.com/ur/articles/apwi/articles/features/2015/03/03/feature-03
413872140,20150303,LASHKAR E TAIBA,PARLIAMENT,MOS,,2,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.jammu.amarujala.com/photo-gallery/in-pictures-all-you-should-know-about-afzal-guru/
413888884,20150303,MUSLIM,MUSLIM,MOS,MOS,10,1,12.8639,74.8353,"Mangalore, Karnataka, India",http://pulse.ng/student/racist-moral-police-20-yr-old-muslim-student-kidnapped-beaten-to-pulp-for-taking-picture-with-hindu-girls-id3534937.html
413757544,20150303,ISLAM,TERRORIST,MOS,,10,1,33.9167,76.6667,,http://khabarsouthasia.com/ur/articles/apwi/articles/features/2015/03/03/feature-03
414742437,20150306,MUSLIM,,MOS,,2,1,26.0,94.25,,http://www.banglamail24.com/news/2015/03/06/id/166383/
415235598,20150308,MUSLIM,,MOS,,10,1,20.0,77.0,India,http://www.siasat.com/english/news/open-letter-sadhvi-and-rss-hindu
415390785,20150309,MUSLIM CLERIC,SEPARATIST,MOS,,4,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://hindi.webdunia.com/regional-hindi-news/jammu-and-kashmir-separatists-masrat-alam-115030900004_1.html
415390784,20150309,MUSLIM CLERIC,MUMBAI,MOS,,6,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://hindi.webdunia.com/regional-hindi-news/jammu-and-kashmir-separatists-masrat-alam-115030900004_1.html
416584328,20150312,ISLAMIC,POLICE,MOS,,10,1,20.0,77.0,India,http://www.africaleader.com/index.php/sid/231008061
416535522,20150312,ISLAM,,MOS,,8,1,22.6572,88.8942,"Basirhat, West Bengal, India",http://www.hindustantimes.com/kolkata/kolkata-wakes-up-to-barasat-protests/article1-1075327.aspx
416535521,20150312,MUSLIM,,MOS,,10,1,22.7417,88.7858,"Baduria, West Bengal, India",http://www.hindustantimes.com/kolkata/man-set-on-fire-for-marrying-muslim-girl/article1-328416.aspx
416535523,20150312,ISLAM,,MOS,,8,1,22.5697,88.3697,"Kolkata, West Bengal, India",http://www.hindustantimes.com/kolkata/barasat-on-the-boil-after-student-s-rape-amp-murder/article1-1073485.aspx
416768212,20150313,LASHKAR E TAIBA,PAKISTAN,MOS,,2,1,24.7333,79.95,"Raj Nagar, Madhya Pradesh, India",http://www.prabhatkhabar.com/news/national/india-expressed-a-strong-resistance-on-the-order-of-release-of-lakhvi-summons-pakistani-high-commissioner/353696.html
416836713,20150313,LASHKAR E TAIBA,,MOS,,2,1,26.1967,78.1514,"Lashkar, Madhya Pradesh, India",https://es.noticias.yahoo.com/tribunal-superior-islamabad-vuelve-ordenar-libertad-acusado-atentados-160945797.html
416768211,20150313,LASHKAR E TAIBA,PAKISTAN,MOS,,2,1,24.7333,79.95,"Raj Nagar, Madhya Pradesh, India",http://www.prabhatkhabar.com/news/national/india-expressed-a-strong-resistance-on-the-order-of-release-of-lakhvi-summons-pakistani-high-commissioner/353696.html
417103922,20150314,ISLAMIC,FRANCE,MOS,,1,1,19.25,73.15,"Kalyan, Maharashtra, India",http://www.dailymail.co.uk/indiahome/indianews/article-2994999/Joining-ISIS-one-way-ticket-death-Ex-prisoner-warns-youngsters-think-cool-join-jihadi-thugs.html
417561584,20150316,MUSLIM,PAKISTAN,MOS,,2,1,20.0,77.0,India,http://aajtak.intoday.in/story/shiv-sena-attack-on-modi-bjp-alliance-pdp-treason-termed-1-803638.html
417561583,20150316,MUSLIM,PAKISTAN,MOS,,2,1,20.0,77.0,India,http://aajtak.intoday.in/story/shiv-sena-attack-on-modi-bjp-alliance-pdp-treason-termed-1-803638.html
417561576,20150316,MUSLIM,,MOS,,6,1,20.0,77.0,India,http://aajtak.intoday.in/story/shiv-sena-attack-on-modi-bjp-alliance-pdp-treason-termed-1-803638.html
417337931,20150316,ISLAM,,MOS,,8,1,20.0,77.0,India,http://www.thedailystar.net/city/charge-sheets-taqi-nganj-7-murder-cases-soon-71801
425498587,20150316,LASHKAR E TAIBA,,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://navbharattimes.indiatimes.com/india/the-threat-of-the-terrorist-attacks-in-mumbai/articleshow/46923863.cms
417591194,20150316,MUSLIM,,MOS,,6,1,17.8667,76.95,"Kalyani, Karnataka, India",http://www.prabhatkhabar.com/news/national/shiv-sena-bharatiya-janata-party-narendra-modi-government-assault-pdp-party-coalition-treason/358204.html
417591200,20150316,MUSLIM,PAKISTAN,MOS,,2,1,17.8667,76.95,"Kalyani, Karnataka, India",http://www.prabhatkhabar.com/news/national/shiv-sena-bharatiya-janata-party-narendra-modi-government-assault-pdp-party-coalition-treason/358204.html
417591201,20150316,MUSLIM,PAKISTAN,MOS,,2,1,17.8667,76.95,"Kalyani, Karnataka, India",http://www.prabhatkhabar.com/news/national/shiv-sena-bharatiya-janata-party-narendra-modi-government-assault-pdp-party-coalition-treason/358204.html
417674439,20150317,MUSLIM,,MOS,,6,1,28.6,77.2,"New Delhi, Delhi, India",http://www.punjabkesari.in/news/article-347033
417674441,20150317,MUSLIM,PAKISTAN,MOS,,2,1,28.6,77.2,"New Delhi, Delhi, India",http://www.punjabkesari.in/news/article-347033
417674440,20150317,MUSLIM,PAKISTAN,MOS,,2,1,28.6,77.2,"New Delhi, Delhi, India",http://www.punjabkesari.in/news/article-347033
418187951,20150318,IMAM,,MOS,,8,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.lucknow.amarujala.com/feature/politics-lkw/maulana-ahmed-bukhari-comments-on-azam-khan-and-modi-hindi-news/
418498282,20150319,SHIITE,SUNNI,MOS,MOS,4,1,24.0824,78.4376,"Golani, Madhya Pradesh, India",http://www.investopedia.com/articles/investing/031915/how-islamic-state-got-its-start.asp
418646134,20150320,LASHKAR E TAIBA,HIGH COURT,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.newstracklive.com/HI/Newsdesc.aspx?category=World&news=HN48253F3B42A0A44BA548DB9475AF8CC5F95B
418939489,20150321,ISLAM,,MOS,,10,1,20.0,77.0,India,http://politik.kompasiana.com/2015/03/21/jihad-intelektual-707998.html
419217443,20150322,MUSLIM,CONSTAB,MOS,,6,1,27.25,80.75,,http://twocircles.net/2015mar22/1427047733.html
419217442,20150322,MUSLIM,CONSTAB,MOS,,4,1,27.25,80.75,,http://twocircles.net/2015mar22/1427047733.html
