GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
429102647,20140428,HINDU,,HIN,,1,1,20.0,77.0,India,http://www.pakistanchristianpost.com/headlinenewsd.php?hnewsid=5306
429102649,20140428,HINDU,ISLAM,HIN,MOS,1,1,20.0,77.0,India,http://www.pakistanchristianpost.com/headlinenewsd.php?hnewsid=5306
464062275,20140905,HINDU,CONGRESS,HIN,,2,1,13.35,74.75,"Udupi, Karnataka, India",http://www.hindustantimes.com/analysis/how-siddaramaiah-has-let-karnataka-s-secularists-down/article1-1387697.aspx
464062274,20140905,HINDU,CONGRESS,HIN,,6,1,12.8639,74.8353,"Mangalore, Karnataka, India",http://www.hindustantimes.com/analysis/how-siddaramaiah-has-let-karnataka-s-secularists-down/article1-1387697.aspx
464062273,20140905,HINDU,CONGRESS,HIN,,2,1,13.6333,74.7,"Kundapur, Karnataka, India",http://www.hindustantimes.com/analysis/how-siddaramaiah-has-let-karnataka-s-secularists-down/article1-1387697.aspx
477910224,20141020,HINDU,DELHI,HIN,,2,1,28.6667,77.2167,"Delhi, Delhi, India",http://m.thehindu.com/opinion/op-ed/more-punishment-is-not-less-crime/article7785272.ece
477876117,20141020,HINDU,DELHI,HIN,,6,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.thehindu.com/opinion/op-ed/more-punishment-is-not-less-crime/article7785272.ece
477876118,20141020,HINDU,DISTRICT COURT,HIN,,4,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.thehindu.com/opinion/op-ed/more-punishment-is-not-less-crime/article7785272.ece
485341757,20141116,HINDU,GANG,HIN,,8,1,29.9667,77.55,"Saharanpur, Uttar Pradesh, India",http://www.newindianexpress.com/nation/After-a-Years-Tribulation-Love-Jihad-Victim-Goes-Back-to-Her-Muslim-Lover/2015/11/16/article3131073.ece
485341758,20141116,HINDU,RELIGION,HIN,,8,1,25.45,81.85,"Allahabad, Uttar Pradesh, India",http://www.newindianexpress.com/nation/After-a-Years-Tribulation-Love-Jihad-Victim-Goes-Back-to-Her-Muslim-Lover/2015/11/16/article3131073.ece
511730918,20150214,ROMAN CATHOLIC,THE US,CHR,,10,1,11.4,76.7,"Ootacamund, Tamil Nadu, India",http://www.taipeitimes.com/News/world/archives/2016/02/15/2003639433
411208509,20150221,CHRISTIAN,,CHR,,10,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.newstracklive.com/HI/NewsDesc.aspx?category=World&news=HN4E2E0AF7649C26480F6901C66CF9A5C49762
411072682,20150221,AMIT,,JEW,,4,1,16.8333,81.5,"Tadepalligudem, Andhra Pradesh, India",http://www.thehindu.com/news/cities/Visakhapatnam/they-have-past-criminal-record/article6919298.ece
411317949,20150222,HINDU,,HIN,,9,1,22.2394,88.2736,"Usti, West Bengal, India",http://www.americanthinker.com/articles/2015/02/the_muslim_takeover_of_west_bengal.html
411400045,20150222,JESUITS,PRIEST,CHR,,9,3,20.0,77.0,India,http://www.dailystar.com.lb/News/World/2015/Feb-22/288328-jesuits-abducted-indian-priest-is-released-in-afghanistan.ashx
411317950,20150222,HINDU,,HIN,,1,1,22.2394,88.2736,"Usti, West Bengal, India",http://www.americanthinker.com/articles/2015/02/the_muslim_takeover_of_west_bengal.html
411684681,20150223,HINDU,,HIN,,5,1,22.2394,88.2736,"Usti, West Bengal, India",http://www.morninginarizona.com/western-free-press/the-muslim-takeover-of-west-bengal/
411687431,20150223,CHURCH OF SOUTH INDIA,POLICE,CHR,,10,1,20.0,77.0,India,http://www.deccanherald.com/content/461692/police-not-acting-against-men.html
411472246,20150223,JESUITS,PRIEST,CHR,,3,1,20.0,77.0,India,http://asiancorrespondent.com/130833/jesuits-abducted-indian-priest-is-released-in-afghanistan/
412174335,20150225,CHRISTIAN,,CHR,,6,1,28.6,77.2,"New Delhi, Delhi, India",http://www.dailythanthi.com/News/India/2015/02/25140514/Church-vandalised-in-Mangaluru.vpf
412174334,20150225,CHRISTIAN,,CHR,,2,1,13.5,76.0,,http://www.dailythanthi.com/News/India/2015/02/25140514/Church-vandalised-in-Mangaluru.vpf
412055198,20150225,AMIT,,JEW,,10,1,28.6667,77.4333,"Ghaziabad, Uttar Pradesh, India",http://aajtak.intoday.in/story/vardaat-amroha-love-triangle-murder-case--1-800946.html
412166393,20150225,HINDU,MINORITIES,HIN,,10,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.business-standard.com/article/companies/india-inc-worried-over-delay-in-key-reforms-115022500434_1.html
412200047,20150225,VISHVA HINDU PARISHAD,ASHOK SINGHAL,HIN,HIN,6,1,26.2867,73.03,"Jodhpur, Rajasthan, India",http://www.khaskhabar.com/picture-news/news-hm-rajnath-says-asaram-honourable-sait-1-57359.html
412171601,20150225,VISHVA HINDU PARISHAD,ASHOK SINGHAL,HIN,HIN,10,1,26.2867,73.03,"Jodhpur, Rajasthan, India",http://aajtak.intoday.in/story/rajnath-singh-and-arun-jaitley-praises-asaram-1-800993.html
412200046,20150225,VISHVA HINDU PARISHAD,ASHOK SINGHAL,HIN,HIN,4,1,23.0333,72.6167,"Ahmedabad, Gujarat, India",http://www.khaskhabar.com/picture-news/news-hm-rajnath-says-asaram-honourable-sait-1-57359.html
412437729,20150226,HINDU,BUSINESS,HIN,,5,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.rediff.com/business/report/india-inc-worried-over-delay-in-key-reforms/20150226.htm
