GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
453656467,20140730,CATHOLIC,SPANISH,CHR,,10,1,53.45,-2.23333,"Greater Manchester, United Kingdom (general), United Kingdom",http://www.express.co.uk/news/uk/594949/Pupils-excluded-latest-figures-2013-2014
410488618,20150219,LIBYA,ISLAMIC,CHR,MOS,1,1,54.0,-2.0,United Kingdom,http://www.news24.com/World/News/Obama-Extremists-have-perverted-Islam-20150219
410945634,20150220,CATHOLIC PRIEST,,CHR,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://pulse.ng/religion/hilary-ogom-nwadei-nigerian-catholic-priest-jailed-in-the-uk-for-sexually-assaulting-woman-id3503258.html
411841798,20150224,CHRISTIAN,BOSS,CHR,,10,1,51.5167,-1.78333,"Swindon, Swindon, United Kingdom",http://www.westerndailypress.co.uk/Christian-charity-boss-convicted-sexually/story-26071266-detail/story.html
411989636,20150224,CHRISTIAN,ISLAMIC,CHR,MOS,10,1,54.0,-2.0,United Kingdom,http://www.amarujala.com/news/samachar/national/90-people-kidnapped-by-is-in-syria-hindi-news/
412154598,20150225,CHRISTIAN,,CHR,,40,2,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.rbnett.no/ntb/utenriks/article10686613.ece
412099178,20150225,JEWISH,,JEW,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.jta.org/1944/02/25/archive/united-nations-urged-to-instruct-guerrilla-units-to-rescue-jews-from-nazi-lands
412194629,20150225,CHRISTIAN,MILITANT,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.thonline.com/news/national_world/article_ecb07ea6-723e-5706-94a0-4a4ed2743abc.html
412512357,20150226,AMISH,,CHR,,6,1,53.5,-2.21667,"Manchester, Manchester, United Kingdom",http://www.dailymail.co.uk/news/article-2970040/Former-bank-worker-eyes-like-devil-tried-slash-topless-masseuse-s-throat-jealous-rage-man-smiled-salsa-club.html
412515472,20150226,CHRISTIAN,MILITANT,CHR,,5,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",http://www.belfasttelegraph.co.uk/news/world-news/more-christians-abducted-by-is-31023834.html
412512356,20150226,AMISH,,CHR,,4,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.dailymail.co.uk/news/article-2970040/Former-bank-worker-eyes-like-devil-tried-slash-topless-masseuse-s-throat-jealous-rage-man-smiled-salsa-club.html
412615242,20150226,CHRISTIAN,,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.easternmirrornagaland.com/2015/02/number-of-christians-abducted-by-is-rises-to-220/
413004937,20150227,JEWISH,PALESTINE,JEW,,20,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://electronicintifada.net/blogs/asa-winstanley/jewish-defense-league-thugs-found-guilty-assault-palestine-event-london
412821341,20150227,JEWISH,GREEK,JEW,,2,1,54.0,-2.0,United Kingdom,http://english.pnn.ps/index.php/national/9255-british-consul-general-condemns-burning-of-church-in-jerusalem
412876123,20150227,QUAKER,,CHR,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://blogs.spectator.co.uk/nick-cohen/2015/02/why-the-islamist-far-right-must-make-jihadi-john-a-victim/
412788780,20150227,YOGA,,HIN,,3,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",http://www.belfasttelegraph.co.uk/news/world-news/yoga-guru-accused-of-sex-attacks-31026407.html
413502781,20150302,JEWISH,PALESTINE,JEW,,10,1,51.55,-0.216667,"Cricklewood, Brent, United Kingdom",http://www.jewishnews.co.uk/jdls-uk-leader-convicted-palestine-solidarity-event-violence/
413572923,20150302,JEWISH,,JEW,,10,1,51.55,-0.1,"Highbury, Islington, United Kingdom",http://www.thejc.com/news/uk-news/130842/jewish-defence-league-leader-found-guilty-assault
413572168,20150302,PROTESTANT,,CHR,,10,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",http://www.windsorsquare.ca/archives/80627/71-two-reviews-robert-stephen
414825008,20150306,ROMAN CATHOLIC,,CHR,,10,1,53.6167,-2.15,"Rochdale, Rochdale, United Kingdom",http://www.manchestereveningnews.co.uk/news/greater-manchester-news/retired-roman-catholic-priest-83-8786598
415339379,20150308,CHRISTIAN,,CHR,,3,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.dailysabah.com/features/2015/03/09/islamophobia-on-the-rise-in-europe-will-the-cost-be-too-high-for-the-uk
415587368,20150309,AMISH,,CHR,,6,1,53.5,-2.21667,"Manchester, Manchester, United Kingdom",http://www.dailymail.co.uk/news/article-2986730/Bank-worker-tried-murder-topless-masseuse-girlfriend-slashing-throat.html
519706741,20150311,JEWISH,RELIGION,JEW,,5,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.middleeasteye.net/news/counter-extremism-prevent-schools-777646366
519924043,20150312,CHRISTIAN,,CHR,,10,1,54.0,-2.0,United Kingdom,http://www.nydailynews.com/news/politics/obama-urged-label-isis-religious-killings-genocide-article-1.2560486
416808125,20150313,CHRISTIAN,UNITED KINGDOM,CHR,,2,1,51.4167,0.116667,"Sidcup, Bexley, United Kingdom",http://www.newsshopper.co.uk/news/11854870.display/
418542492,20150319,CATHOLIC,,CHR,,1,1,54.4667,-6.33333,"Lurgan, Craigavon, United Kingdom",http://www.belfasttelegraph.co.uk/news/northern-ireland/hooded-men-torture-detainee-gerry-mckerr-dies-at-71-31079466.html
418438506,20150319,CATHOLIC,,CHR,,2,1,55.05,-7.01667,"Ballykelly, Limavady, United Kingdom",http://www.sundayworld.com/news/hooded-man-gerry-mckerr-who-claimed-he-was-tortured-by-british-army
418442083,20150319,CATHOLIC,,CHR,,3,1,54.5,-6.5,"Northern Ireland, Craigavon, United Kingdom",http://www.farminglife.com/national/torture-detainee-dies-at-71-1-6642982
418431003,20150319,CATHOLIC,UNITED KINGDOM,CHR,,8,1,50.9167,-0.083333,"Sussex, East Sussex, United Kingdom",http://www.secularism.org.uk/blog/2015/03/why-did-the-cps-abandon-investigation-into-cardinal-cormac-murphy-oconnor
418422711,20150319,CATHOLIC,,CHR,,2,1,55.05,-7.01667,"Ballykelly, Limavady, United Kingdom",http://www.belfasttelegraph.co.uk/news/northern-ireland/torture-detainee-dies-at-71-31079466.html
418442082,20150319,CATHOLIC,,CHR,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.farminglife.com/national/torture-detainee-dies-at-71-1-6642982
